,Name,ID,Value,Value last updated,DOB,Age,Height (m),Nationality,Citizenship,Position,Other positions,Team,Last club,Since,Joined,Contract expiration,Market value history,Transfer history
433,Jonathan Tomkinson,696762,€125k,"Jun 17, 2025","Apr 11, 2002",23,1.9,United States,[],Centre-Back,,Cheltenham,,,"Oct 10, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
434,Grady Diangana,342048,€3.50m,"May 27, 2025","Apr 19, 1998",27,1.8,DR Congo,"['DR Congo', 'England']",Right Winger,"                    0
0         Left Winger
1  Attacking Midfield",Elche CF,,,"Aug 30, 2025","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
435,Jamie Allen,257727,€600k,"May 27, 2025","Jan 29, 1995",30,1.8,England,['England'],Central Midfield,"                    0
0  Defensive Midfield
1  Attacking Midfield",Coventry,,,"Jul 1, 2019","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
436,Harry Souttar,298091,€6.00m,"May 30, 2025","Oct 22, 1998",27,1.98,Australia,"['Scotland', 'Australia']",Centre-Back,,Leicester,,,"Jan 31, 2023","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
437,Mark O'Mahony,943549,€500k,"May 27, 2025","Jan 14, 2005",20,1.82,Ireland,['Ireland'],Centre-Forward,,Reading,,,"Jul 7, 2025","May 31, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
438,Hannibal,607224,€12.00m,"May 27, 2025","Jan 21, 2003",22,1.83,Tunisia,[],Attacking Midfield,,Burnley,,,"Aug 28, 2024","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
439,Sam Parker,1028959,€150k,"May 27, 2025","Jul 7, 2006",19,1.78,Wales,[],Right-Back,,Swansea,,,"Jan 1, 2024","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
440,Paul Smyth,408872,€600k,"May 27, 2025","Sep 10, 1997",28,1.75,Northern Ireland,['Northern Ireland'],Right Winger,"                    0
0  Attacking Midfield
1         Left Winger",QPR,,,"Jul 1, 2023","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
441,Rav van den Berg,640556,€8.00m,"Oct 14, 2025","Jul 7, 2004",21,1.91,Netherlands,['Netherlands'],Centre-Back,"            0
0  Right-Back",1.FC Köln,,,"Aug 13, 2025","Jun 30, 2030",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
442,Kian Taylor,969561,€100k,"May 27, 2025","Feb 15, 2005",20,1.73,England,['England'],Central Midfield,"                    0
0  Defensive Midfield",Morton,,,"Jul 25, 2025","May 31, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
443,Enzo Le Fée,633992,€20.00m,"Oct 17, 2025","Feb 3, 2000",25,1.73,France,['France'],Central Midfield,"                    0
0  Attacking Midfield
1       Left Midfield",Sunderland,,,"Jul 1, 2025","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
444,Josh Murphy,199528,€1.80m,"Oct 6, 2025","Feb 24, 1995",30,1.73,England,[],Left Winger,,Portsmouth,,,"Jul 1, 2024","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
445,Oliver Arblaster,874066,€1.40m,"May 27, 2025","Jan 8, 2004",21,1.8,England,['England'],Central Midfield,"                    0
0  Defensive Midfield",Sheff Utd,,,"Jul 1, 2023","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
446,Alex Robertson,609887,€1.50m,"May 27, 2025","Apr 17, 2003",22,1.82,Australia,[],Central Midfield,,Cardiff,,,"Aug 7, 2024","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
447,Zak Vyner,417955,€2.80m,"May 27, 2025","May 14, 1997",28,1.87,Kenya,"['Kenya', 'England']",Centre-Back,"                    0
0          Right-Back
1  Defensive Midfield",Bristol City,,,"Jul 1, 2016","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
448,Mileta Rajović,525919,€2.50m,"Sep 26, 2025","Jul 17, 1999",26,1.96,Denmark,[],Centre-Forward,,Legia Warszawa,,,"Jul 15, 2025","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
449,Thomas Kaminski,77757,€1.50m,"Oct 6, 2025","Oct 23, 1992",33,1.9,Belgium,"['Belgium', 'Poland']",Goalkeeper,,Charlton,,,"Jul 1, 2025","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
450,Ben Osborn,218087,€750k,"May 27, 2025","Aug 5, 1994",31,1.76,England,['England'],Central Midfield,"               0
0  Left Midfield
1      Left-Back",Stockport,,,"Sep 1, 2025","May 31, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
451,Josh McEachran,128905,€150k,"May 27, 2025","Mar 1, 1993",32,1.78,England,[],Central Midfield,,Bristol Rovers,,,"Jul 1, 2025","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
452,Jeff Hendrick,148262,,,"Jan 31, 1992",33,1.85,Ireland,[],Central Midfield,,Retired,Derby,"Jul 1, 2025",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
453,Terry Devlin,693440,€1.00m,"May 27, 2025","Nov 6, 2003",22,1.8,Northern Ireland,['Northern Ireland'],Right-Back,"                    0
0  Attacking Midfield
1    Central Midfield",Portsmouth,,,"Jul 1, 2023","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
454,José Córdoba,698415,€4.80m,"May 27, 2025","Jun 3, 2001",24,1.85,Panama,[],Centre-Back,,Norwich,,,"Jul 1, 2024","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
455,José Córdoba,698415,€4.80m,"May 27, 2025","Jun 3, 2001",24,1.85,Panama,['Panama'],Centre-Back,,Norwich,,,"Jul 1, 2024","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
456,Kion Etete,624967,€1.00m,"Jun 18, 2025","Nov 28, 2001",23,1.94,England,[],Centre-Forward,,Rotherham,,,"Aug 1, 2025","May 31, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
457,Harry Pickering,426412,€2.60m,"Oct 6, 2025","Dec 29, 1998",26,1.73,England,[],Left-Back,,Blackburn,,,"Feb 1, 2021","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
458,Joe Walsh,690548,€500k,"Oct 6, 2025","Apr 1, 2002",23,1.93,England,[],Goalkeeper,,QPR,,,"Jan 28, 2021",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
459,Giorgi Chakvetadze,412616,€4.50m,"May 27, 2025","Aug 29, 1999",26,1.83,Georgia,[],Attacking Midfield,,Watford,,,"Feb 1, 2024","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
460,Tanatswa Nyakuhwa,955347,€100k,"May 27, 2025","Sep 17, 2005",20,,Wales,"['Zimbabwe', 'Wales']",Left Winger,"              0
0  Right Winger",Cardiff,,,"Jul 1, 2025",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
461,Morgan Whittaker,502075,€10.00m,"May 27, 2025","Jan 7, 2001",24,1.83,England,['England'],Right Winger,"                    0
0      Second Striker
1  Attacking Midfield",Middlesbrough,,,"Jan 24, 2025","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
462,Mark McGuinness,561454,€7.00m,"May 27, 2025","Jan 5, 2001",24,1.94,Ireland,"['Ireland', 'England']",Centre-Back,,Sheff Utd,,,"Sep 1, 2025","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
463,Jeremy Sarmiento,568005,€7.00m,"May 27, 2025","Jun 16, 2002",23,1.78,Ecuador,"['Ecuador', 'England', 'Spain']",Left Winger,"                    0
0        Right Winger
1  Attacking Midfield",Cremonese,,,"Sep 1, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
464,Ben Pearson,183302,€1.00m,"May 27, 2025","Jan 4, 1995",30,1.76,England,[],Central Midfield,,Stoke City,,,"Jul 8, 2023","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
465,John Buckley,503781,€2.20m,"May 27, 2025","Oct 13, 1999",26,1.73,England,[],Central Midfield,,Al-Kholood,,,"Aug 26, 2025",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
466,Jefferson Cáceres,832216,€1.00m,"May 27, 2025","Aug 22, 2002",23,1.73,Peru,[],Left Winger,,Dunfermline A.,,,"Aug 15, 2025","May 31, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
467,Joe Anderson,511551,€175k,"May 27, 2025","Feb 6, 2001",24,1.88,England,['England'],Centre-Back,"           0
0  Left-Back",Sunderland,,,"Jan 31, 2023","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
468,Josh Thomas,551011,€100k,"Jun 20, 2025","Sep 24, 2002",23,1.72,Wales,[],Centre-Forward,,Drogheda United,,,"Jan 17, 2025","Dec 31, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
469,Reece Burke,264220,€1.50m,"May 27, 2025","Sep 2, 1996",29,1.89,England,[],Centre-Back,,Charlton,,,"Jul 9, 2025","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
470,Hevertton,695121,€1.00m,"May 30, 2025","Feb 1, 2001",24,1.83,Portugal,"['Portugal', 'Brazil']",Right-Back,"                0
0  Right Midfield",Gil Vicente,,,"Jul 11, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
471,Ilia Gruev,381753,€8.00m,"Oct 17, 2025","May 6, 2000",25,1.85,Bulgaria,"['Germany', 'Bulgaria']",Defensive Midfield,"                  0
0  Central Midfield",Leeds,,,"Aug 31, 2023","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
472,Jack Currie,851972,€600k,"Oct 6, 2025","Dec 16, 2001",23,1.75,England,[],Left-Back,,Oxford United,,,"Jul 5, 2024",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
473,Jimmy Dunne,396174,€4.00m,"May 27, 2025","Oct 19, 1997",28,1.91,Ireland,[],Right-Back,,QPR,,,"Jul 13, 2021",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
474,Jack Vale,496660,€500k,"Jun 17, 2025","Mar 3, 2001",24,1.85,Wales,['Wales'],Centre-Forward,"              0
0  Right Winger
1   Left Winger",Northampton,,,"Sep 18, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
475,Ben Nelson,714458,€500k,"May 27, 2025","Mar 18, 2004",21,1.93,England,"['Scotland', 'England']",Centre-Back,,Leicester,,,"Jul 1, 2023","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
476,Brandon Powell,936904,,,"Oct 17, 2005",20,1.73,England,"['United States', 'England']",Attacking Midfield,"               0
0    Left Winger
1  Left Midfield",Blackburn U21,,,"Jul 1, 2024","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
477,Kusini Yengi,708099,€500k,"May 27, 2025","Jan 15, 1999",26,1.9,Australia,"['England', 'Australia']",Centre-Forward,"             0
0  Left Winger",Aberdeen FC,,,"Jul 1, 2025","May 31, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
478,Charlie Kelman,633492,€3.50m,"Oct 6, 2025","Nov 2, 2001",24,1.8,United States,[],Centre-Forward,,Charlton,,,"Jul 27, 2025","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
479,Chris Mepham,480987,€3.50m,"Oct 6, 2025","Nov 5, 1997",28,1.9,Wales,[],Centre-Back,,West Brom,,,"Aug 28, 2025","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
480,Jewison Bennette,743627,€600k,"Jun 10, 2025","Jun 15, 2004",21,1.73,Costa Rica,['Costa Rica'],Left Winger,"               0
0   Right Winger
1  Left Midfield",LNZ Cherkasy,,,"Mar 9, 2025","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
481,Mamadou Doumbia,1101539,€600k,"Oct 6, 2025","Feb 18, 2006",19,1.92,Mali,['Mali'],Centre-Forward,,Watford,,,"Jul 1, 2024","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
482,Saxon Earley,670989,€150k,"May 27, 2025","Oct 11, 2002",23,1.77,England,[],Left-Back,,Stevenage,,,"Jul 1, 2025",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
483,Isaak Davies,547039,€1.20m,"May 27, 2025","Sep 25, 2001",24,1.75,Wales,['Wales'],Centre-Forward,"                0
0  Second Striker
1    Right Winger",Cardiff,,,"Jul 1, 2021","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
484,Delano Burgzorg,436585,€3.00m,"May 27, 2025","Nov 7, 1998",27,1.86,Suriname,[],Left Winger,,Middlesbrough,,,"Jul 1, 2024","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
485,Callum O'Hare,371262,€3.20m,"May 27, 2025","May 1, 1998",27,1.73,England,"['Ireland', 'England']",Attacking Midfield,"                  0
0  Central Midfield",Sheff Utd,,,"Jul 15, 2024","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
486,Zak Swanson,540687,€1.00m,"Oct 6, 2025","Sep 28, 2000",25,1.89,England,[],Right-Back,,Portsmouth,,,"Jul 4, 2022","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
487,Tommy McDermott,1037996,€100k,"May 27, 2025","Jun 1, 2005",20,1.78,England,['England'],Attacking Midfield,,Shrewsbury,,,"Aug 11, 2025","May 31, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
488,Ibrahim Cissoko,575693,€1.50m,"May 27, 2025","Mar 26, 2003",22,1.88,Netherlands,"['Guinea', 'Netherlands']",Left Winger,"              0
0  Right Winger",Bolton,,,"Aug 13, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
489,Marcus Forss,404584,€2.20m,"May 27, 2025","Jun 18, 1999",26,1.82,Finland,[],Centre-Forward,,Bolton,,,"Sep 1, 2025","May 31, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
490,George Edmundson,385848,€800k,"May 27, 2025","Aug 15, 1997",28,1.9,England,[],Centre-Back,,Middlesbrough,,,"Jan 25, 2025","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
491,Nat Phillips,371814,€3.50m,"Oct 6, 2025","Mar 21, 1997",28,1.9,England,['England'],Centre-Back,,West Brom,,,"Jul 1, 2025","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
492,Przemyslaw Placheta,383109,€1.30m,"May 27, 2025","Mar 23, 1998",27,1.78,Poland,['Poland'],Left Winger,"               0
0   Right Winger
1  Left Midfield",Oxford United,,,"Jul 15, 2024","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
493,Michael Ani,1354013,,,,,,England,['England'],Right-Back,"                    0
0  Defensive Midfield",Portsmouth U18,,,"Jul 1, 2024",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
494,Nelson Abbey,566677,€700k,"May 30, 2025","Aug 28, 2003",22,1.87,England,"['Nigeria', 'England']",Centre-Back,"           0
0  Left-Back",Rio Ave,,,"Jul 1, 2025","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
495,Dan Ballard,503686,€10.00m,"Oct 17, 2025","Sep 22, 1999",26,1.87,Northern Ireland,"['Northern Ireland', 'England']",Centre-Back,,Sunderland,,,"Jul 1, 2022","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
496,Mihailo Ivanovic,849865,€4.00m,"May 27, 2025","Nov 29, 2004",20,1.91,Serbia,"['Serbia and Montenegro', 'Croatia', 'Serbia']",Centre-Forward,,Millwall,,,"Aug 30, 2024",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
497,Ben Hamer,67283,€100k,"May 27, 2025","Nov 20, 1987",38,1.93,England,['England'],Goalkeeper,,QPR,,,"Sep 19, 2025","Dec 31, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
498,Mo Faal,741694,€400k,"Jun 18, 2025","Feb 11, 2003",22,1.96,The Gambia,"['The Gambia', 'England']",Centre-Forward,,Port Vale,,,"Aug 7, 2025","May 31, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
499,Will Jarvis,746613,€300k,"Jun 30, 2025","Dec 17, 2002",22,1.85,England,[],Left Winger,,Notts County,,,"Jan 6, 2025","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
500,Jack Rudoni,662476,€15.00m,"Oct 6, 2025","Jun 14, 2001",24,1.85,England,['England'],Central Midfield,"                    0
0       Left Midfield
1  Attacking Midfield",Coventry,,,"Jul 1, 2024","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
501,Matt Ingram,164499,€500k,"May 27, 2025","Dec 18, 1993",31,1.91,England,['England'],Goalkeeper,,Oxford United,,,"Jul 19, 2024",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
502,Charlie Crew,883539,€150k,"Jun 30, 2025","Jun 15, 2006",19,1.85,Wales,['Wales'],Defensive Midfield,"                  0
0  Central Midfield",Doncaster,,,"Aug 5, 2025","May 31, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
503,Jake Cooper,243603,€2.00m,"May 27, 2025","Feb 3, 1995",30,1.99,England,[],Centre-Back,,Millwall,,,"Jul 28, 2017",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
504,Lars-Jørgen Salvesen,336640,€700k,"Oct 6, 2025","Feb 19, 1996",29,1.86,Norway,[],Centre-Forward,,Derby,,,"Jan 15, 2025","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
505,Etienne Green,696849,€700k,"May 27, 2025","Jul 19, 2000",25,1.91,England,"['France', 'England']",Goalkeeper,,FC Fredericia,,,"Aug 27, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
506,Ronan Kpakio,1005855,€100k,"May 27, 2025","May 25, 2007",18,1.78,Wales,"['Zimbabwe', 'Wales']",Right-Back,,Cardiff,,,"Jul 1, 2025","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
507,Finley Burns,581681,€900k,"May 27, 2025","Jun 17, 2003",22,1.96,England,[],Centre-Back,,Reading,,,"Jul 7, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
508,Liam Lindsay,228912,€1.80m,"May 27, 2025","Oct 12, 1995",30,1.91,Scotland,['Scotland'],Centre-Back,,Preston,,,"Jul 1, 2021","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
509,Angelo Ogbonna,48002,€150k,"Oct 21, 2025","May 23, 1988",37,1.91,Italy,[],Centre-Back,,Without Club,Watford,"Jul 1, 2025",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
510,Greg Leigh,201586,€250k,"May 27, 2025","Sep 30, 1994",31,1.81,Jamaica,[],Left-Back,,Oxford United,,,"Aug 24, 2023",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
511,Marcus Harness,288323,€800k,"May 27, 2025","Feb 24, 1996",29,1.82,Ireland,[],Attacking Midfield,,Huddersfield,,,"Jul 1, 2025","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
512,Darnell Furlong,351755,€3.50m,"Oct 6, 2025","Oct 31, 1995",30,1.83,England,[],Right-Back,,Ipswich,,,"Aug 28, 2025","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
513,Thimothée Lo-Tutala,655877,€350k,"May 27, 2025","Feb 13, 2003",22,1.91,France,[],Goalkeeper,,Doncaster,,,"Jul 1, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
514,Billy Mitchell,671821,€3.00m,"May 27, 2025","Apr 7, 2001",24,1.78,England,['England'],Defensive Midfield,"                  0
0  Central Midfield",Millwall,,,"Jan 1, 2020","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
515,Trey Samuel-Ogunsuyi,1081159,€50k,"Oct 8, 2025","Dec 26, 2006",18,1.9,Belgium,"['Belgium', 'England']",Centre-Forward,"              0
0  Right Winger
1   Left Winger",Falkirk,,,"Aug 30, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
516,Jake Bidwell,121250,€1.00m,"May 27, 2025","Mar 21, 1993",32,1.83,England,[],Left-Back,,Coventry,,,"Jan 17, 2022","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
517,Aynsley Pears,354456,€1.40m,"May 27, 2025","Apr 23, 1998",27,1.85,England,[],Goalkeeper,,Blackburn,,,"Oct 16, 2020","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
518,Yuki Ohashi,592116,€1.80m,"May 27, 2025","Jul 27, 1996",29,1.81,Japan,['Japan'],Centre-Forward,"                    0
0  Attacking Midfield",Blackburn,,,"Jul 31, 2024","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
519,Ben Lloyd,732109,,,"Mar 14, 2005",20,1.75,Wales,['Wales'],Attacking Midfield,"                  0
0  Central Midfield",Newport County,,,"Jul 28, 2025","Dec 31, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
520,Bambo Diaby,435493,€800k,"Jun 24, 2025","Dec 17, 1997",27,1.88,Spain,[],Centre-Back,,Elche CF,,,"Aug 22, 2024","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
521,Tom Barkhuizen,160137,€300k,"May 27, 2025","Jul 4, 1993",32,1.75,England,[],Right Winger,,Barrow,,,"Jul 29, 2025","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
522,Milutin Osmajic,542819,€3.00m,"Oct 6, 2025","Jul 25, 1999",26,1.86,Montenegro,[],Centre-Forward,,Preston,,,"Sep 1, 2023","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
523,Alex Palmer,245625,€1.00m,"May 30, 2025","Aug 10, 1996",29,1.91,England,['England'],Goalkeeper,,Ipswich,,,"Feb 3, 2025","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
524,Dajaune Brown,847371,€400k,"May 27, 2025","Oct 16, 2005",20,1.82,Jamaica,[],Centre-Forward,,Port Vale,,,"Aug 27, 2025","May 31, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
525,Jordan Clark,184129,€600k,"May 27, 2025","Sep 22, 1993",32,1.83,England,['England'],Attacking Midfield,"                  0
0  Central Midfield
1    Right Midfield",Luton,,,"Aug 5, 2020",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
526,Louie Marsh,874043,€150k,"Jun 30, 2025","Jul 2, 2004",21,1.76,England,[],Second Striker,,Sheff Utd,,,"Jul 1, 2024","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
527,Will Keane,118535,€600k,"May 27, 2025","Jan 11, 1993",32,1.88,Ireland,[],Centre-Forward,,Preston,,,"Jul 14, 2023","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
528,Joshua Johnson,881261,,,"Sep 26, 2004",21,,England,['England'],Central Midfield,,Oxford United,,,"Jul 1, 2023",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
529,Georginio Rutter,538977,€32.00m,"May 30, 2025","Apr 20, 2002",23,1.82,France,"['France', 'Martinique']",Centre-Forward,"                0
0  Second Striker
1    Right Winger",Brighton,,,"Aug 19, 2024","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
530,Abdoullah Ba,654412,€2.50m,"Jun 2, 2025","Jul 31, 2003",22,1.8,France,"['France', 'Mauritania']",Right Midfield,"                    0
0    Central Midfield
1  Attacking Midfield",Sunderland,,,"Aug 31, 2022","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
531,Jeff Hendrick,148262,,,"Jan 31, 1992",33,1.85,Ireland,['Ireland'],Central Midfield,"                    0
0  Attacking Midfield
1      Right Midfield",Retired,Derby,"Jul 1, 2025",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
532,Rob Holding,253341,€3.50m,"May 27, 2025","Sep 20, 1995",30,1.89,England,[],Centre-Back,,Colorado,,,"Aug 3, 2025","Dec 31, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
